1,DDD,3D Systems Corporation,US,stock,100
2,MMM,3M Company,US,stock,100
3,WBAI,500.com Limited,US,stock,100
4,WUBA,58.com Inc.,US,stock,100
5,AHC,A.H. Belo Corporation,US,stock,100
6,ATEN,A10 Networks,,,100
7,AAC,AAC Holdings,,,100
8,AIR,AAR Corp.,US,stock,100
9,AAN,Aaron&#39;s,,,100
10,ABB,ABB Ltd,US,stock,100
11,ABT,Abbott Laboratories,US,stock,100
12,ABBV,AbbVie Inc.,US,stock,100
13,ANF,Abercrombie & Fitch Company,US,stock,100
14,GCH,Aberdeen Greater China Fund,,,100
15,JEQ,Aberdeen Japan Equity Fund,,,100
16,SGF,Aberdeen Singapore Fund,,,100
17,ABM,ABM Industries Incorporated,US,stock,100
18,AKR,Acadia Realty Trust,US,stock,100
19,ACN,Accenture plc.,US,stock,100
20,ACCO,Acco Brands Corporation,US,stock,100
21,ACW,Accuride Corporation New,US,stock,100
22,ATV,Acorn International,,,100
23,ATU,Actuant Corporation,US,stock,100
24,AYI,Acuity Brands Inc,US,stock,100
25,ADX,Adams Diversified Equity Fund,,,100
26,PEO,Adams Natural Resources Fund,,,100
27,AGRO,Adecoagro S.A.,US,stock,100
28,ADPT,Adeptus Health Inc.,US,stock,100
29,ADT,ADT Corporation,US,stock,100
30,AAP,Advance Auto Parts Inc,US,stock,100
31,WMS,Advanced Drainage Systems,,,100
32,ASX,Advanced Semiconductor Engineering,,,100
33,AAV,Advantage Oil & Gas Ltd,US,stock,100
34,ATE,Advantest Corporation (Kabushiki Kaisha Advantest) ADS,US,stock,100
35,AVK,Advent Claymore Convertible Securities and Income Fund,US,stock,100
36,AGC,Advent Claymore Convertible Securities and Income Fund II,US,stock,100
37,LCM,Advent/Claymore Enhanced Growth & Income Fund,US,stock,100
38,ACM,AECOM,US,stock,100
39,ANW,Aegean Marine Petroleum Network Inc.,US,stock,100
40,AEB,Aegon NV,US,stock,100
41,AED,Aegon NV,US,stock,100
42,AEG,Aegon NV,US,stock,100
43,AEH,Aegon NV,US,stock,100
44,AEK,Aegon NV,US,stock,100
45,AER,Aercap Holdings N.V.,US,stock,100
46,HIVE,Aerohive Networks,,,100
47,AJRD,Aerojet Rocketdyne Holdings,,,100
48,ARO,Aeropostale Inc,US,stock,100
49,AET,Aetna Inc.,US,stock,100
50,AMG,Affiliated Managers Group,,,100
51,MGR,Affiliated Managers Group,,,100
52,AFL,Aflac Incorporated,US,stock,100
53,AFSD,Aflac Incorporated,US,stock,100
54,MITT,AG Mortgage Investment Trust,,,100
55,MITT^A,AG Mortgage Investment Trust,,,100
56,MITT^B,AG Mortgage Investment Trust,,,100
57,AGCO,AGCO Corporation,US,stock,100
58,A,Agilent Technologies,,,100
59,GAS,AGL Resources,,,100
60,AEM,Agnico Eagle Mines Limited,US,stock,100
61,ADC,Agree Realty Corporation,US,stock,100
62,GRO,Agria Corporation,US,stock,100
63,AGU,Agrium Inc.,US,stock,100
64,AL,Air Lease Corporation,US,stock,100
65,APD,Air Products and Chemicals,,,100
66,AYR,Aircastle Limited,US,stock,100
67,ARG,Airgas,,,100
68,AKS,AK Steel Holding Corporation,US,stock,100
69,ALP^O,Alabama Power Company,US,stock,100
70,ALG,Alamo Group,,,100
71,AGI,Alamos Gold Inc.,US,stock,100
72,ALK,Alaska Air Group,,,100
73,AIN,Albany International Corporation,US,stock,100
74,ALB,Albemarle Corporation,US,stock,100
75,ALU,Alcatel Lucent,US,stock,100
76,AA,Alcoa Inc.,US,stock,100
77,AA^B,Alcoa Inc.,US,stock,100
78,ALR,Alere Inc.,US,stock,100
79,ALR^B,Alere Inc.,US,stock,100
80,ALEX,Alexander & Baldwin Holdings,,,100
81,ALX,Alexander&#39;s,,,100
82,ARE,Alexandria Real Estate Equities,,,100
83,ARE^D,Alexandria Real Estate Equities,,,100
84,ARE^E,Alexandria Real Estate Equities,,,100
85,BABA,Alibaba Group Holding Limited,US,stock,100
86,Y,Alleghany Corporation,US,stock,100
87,ATI,Allegheny Technologies Incorporated,US,stock,100
88,ALLE,Allegion plc,US,stock,100
89,AGN,Allergan plc.,US,stock,100
90,AGN^A,Allergan plc.,US,stock,100
91,ALE,Allete,,,100
92,AKP,Alliance California Municipal Income Fund Inc,US,stock,100
93,ADS,Alliance Data Systems Corporation,US,stock,100
94,AFB,Alliance National Municipal Income Fund Inc,US,stock,100
95,AOI,Alliance One International,,,100
96,AWF,Alliance World Dollar Government Fund II,US,stock,100
97,AB,AllianceBernstein Holding L.P.,US,stock,100
98,ACG,ALLIANCEBERNSTEIN INCOME FUND INC,US,stock,100
99,LNT,Alliant Energy Corporation,US,stock,100
100,NCV,AllianzGI Convertible & Income Fund,US,stock,100
